Date,Product,Region,Sales_Rep,Quantity,Unit_Price,Payment_Method,Customer_Rating,Total_Amount
2023-01-01,Headphones,North,John Smith,6,599,Credit Card,4,3594
2023-01-02,Laptop,South,Sarah Wilson,9,299,Bank Transfer,5,2691
2023-01-02,Laptop,South,John Smith,2,599,Credit Card,1,1198
2023-01-03,Tablet,West,Sarah Wilson,6,899,PayPal,5,5394
2023-01-04,Tablet,West,Sarah Wilson,4,599,Cash,5,2396
2023-01-05,Monitor,North,Michael Chen,5,149,PayPal,3,745
2023-01-05,Laptop,East,John Smith,7,899,Bank Transfer,5,6293
2023-01-08,Headphones,South,Sarah Wilson,5,449,Bank Transfer,1,2245
2023-01-09,Headphones,South,John Smith,4,899,Cash,1,3596
2023-01-09,Headphones,East,John Smith,6,299,PayPal,3,1794
2023-01-12,Tablet,North,Emma Davis,2,149,Bank Transfer,2,298
2023-01-13,Tablet,North,Michael Chen,9,899,Cash,1,8091
2023-01-14,Tablet,West,Sarah Wilson,6,899,PayPal,4,5394
2023-01-14,Headphones,South,Michael Chen,1,299,Bank Transfer,5,299
2023-01-15,Tablet,West,John Smith,8,599,Bank Transfer,3,4792
2023-01-15,Tablet,South,John Smith,7,299,Bank Transfer,5,2093
2023-01-15,Laptop,South,Sarah Wilson,5,599,PayPal,4,2995
2023-01-15,Monitor,West,Emma Davis,7,449,Bank Transfer,2,3143
2023-01-15,Laptop,West,John Smith,2,899,Bank Transfer,4,1798
2023-01-18,Laptop,East,Michael Chen,2,149,PayPal,4,298
2023-01-21,Smartphone,South,Sarah Wilson,2,299,PayPal,5,598
2023-01-21,Tablet,North,Michael Chen,1,899,Bank Transfer,5,899
2023-01-21,Headphones,North,Michael Chen,1,899,Credit Card,5,899
2023-01-22,Laptop,South,Sarah Wilson,6,899,Bank Transfer,2,5394
2023-01-24,Monitor,South,John Smith,6,149,Bank Transfer,4,894
2023-01-27,Monitor,East,Sarah Wilson,8,449,Bank Transfer,2,3592
